ברקוד,מותג,יצרן,שם מוצר,מועד עדכון ברקודים,סטאטוס סימון
2239277,פרי גליל,פרי הגליל-1,ג. גמדי 800פג שארית ישראל,ברקודים חדשים,מסמן על רב המוצרים
2239277,פרי גליל,פרי הגליל-1,ג.גמדי 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים
2239277,פרי גליל,פרי הגליל-1,ג.גמדי 800פג מחפוד,ברקודים חדשים,מסמן על רב המוצרים
2239307,פרי גליל,פרי הגליל-1,שע צהובה 800פג,ברקודים חדשים,מסמן על רב המוצרים
2239307,פרי גליל,פרי הגליל-1,שע.צהובה 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים
2239307,פרי גליל,פרי הגליל-1,שע צהובה 800פג מחפוד,ברקודים חדשים,מסמן על רב המוצרים
2239338,פרי גליל,פרי הגליל-1,שע ירוקה 800פג,ברקודים חדשים,מסמן על רב המוצרים
2239338,פרי גליל,פרי הגליל-1,שע ירוקה 800פג מחפוד,ברקודים חדשים,מסמן על רב המוצרים
2239369,פרי גליל,פרי הגליל-1,שע שלמה 800פג,ברקודים חדשים,מסמן על רב המוצרים
2239369,פרי גליל,פרי הגליל-1,שע.ירוקה שלמה 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים
2239369,פרי גליל,פרי הגליל-1,שע שלמה 800פג מחפוד,ברקודים חדשים,מסמן על רב המוצרים
2239420,פרי גליל,פרי הגליל-1,תירס 800פג,ברקודים חדשים,מסמן על רב המוצרים
2239420,פרי גליל,פרי הגליל-1,תירס 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים
2239482,פרי גליל,פרי הגליל-1,כרובית 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים
2435112,פרי גליל,ט. טעם-15,רוטב עגב. א- BX22 2ויטה,ברקודים חדשים,מסמן על רב המוצרים
2435129,פרי גליל,ט. טעם-15,רוטב עגב. א- BX28 2ויטה,ברקודים חדשים,מסמן על רב המוצרים
2814221,קומפלקס כימיקליים,קומפלקס כימיקליים,רצפות אורנים 2 ליטר,ברקודים חדשים,
2967255,סלטי שמיר,סלטי שמיר,"סלמון פילה אפוי שלם 1ק""ג",ברקודים חדשים,
3385454,פרי גליל,פרי הגליל-1,לקט כרמל 800פג,ברקודים חדשים,מסמן על רב המוצרים
3385881,פרי גליל,פרי הגליל-1,במיה ברוטב א -2פג,ברקודים חדשים,מסמן על רב המוצרים
